alt_files,brand,eans,file_urls,files,model,model_2,product,product_lang,product_parent,scrapfly,source,thumb,type,url,video
,Einhell,,https://assets.einhell.com/manuals-pdf/900_367151/ht-1300-hochdruck.pdf,,HT 1300 HOCHDRUCK-,,High Pressure Cleaner,en,High Pressure Cleaners,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_347067/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/cleaning-car-accessories/high-pressure-cleaners/ht-1300-hochdruck.html,
,Einhell Blue,,"https://assets.einhell.com/manuals-pdf/900_194348/bt-sd-3%2C6-2-li.pdf,https://assets.einhell.com/manuals-pdf/900_196370/bt-sd-3%2C6-2-li.pdf,https://assets.einhell.com/manuals-pdf/900_196373/bt-sd-3%2C6-2-li.pdf,https://assets.einhell.com/manuals-pdf/900_196372/bt-sd-3%2C6-2-li.pdf,https://assets.einhell.com/manuals-pdf/900_196371/bt-sd-3%2C6-2-li.pdf",,"BT-SD 3,6/2 Li",,Cordless Screwdriver,en,,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_184457/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/tools/screwdriver/cordless-screwdriver/bt-sd-3-6-2-li.html,
,Einhell,,"https://assets.einhell.com/manuals-pdf/900_197611/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197607/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197614/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197606/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197613/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197612/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197608/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197610/split-2500-eq-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_197609/split-2500-eq-c-h.pdf",,Split 2500 EQ C+H,,Split Air Conditioner,en,Air conditioner,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_183238/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/air-conditioner/split-2500-eq-c-h.html,
,Global (for Zgonc),,"https://assets.einhell.com/manuals-pdf/900_177590/dhg-510-global.pdf,https://assets.einhell.com/manuals-pdf/900_177591/dhg-510-global.pdf",,DHG 510 GLOBAL,,Hot Air Generator (Diesel),en,Diesel Heaters,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_2477/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/diesel-heaters/dhg-510-global.html,
,Einhell Grey,,"https://assets.einhell.com/manuals-pdf/900_361037/power-x-c-18v-1%2C5ah%3B-ex%3B-arg.pdf,https://assets.einhell.com/manuals-pdf/900_361038/power-x-c-18v-1%2C5ah%3B-ex%3B-arg.pdf",,"Power-X-C. 18V 1,5Ah; EX; ARG",,Battery,en,,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_361339/,Instructions,https://www.isc-gmbh.info/isc_de_en/accessories/car-accessories/battery/power-x-c-18v-1-5ah-ex-arg.html,
,Global (for Zgonc),,"https://assets.einhell.com/manuals-pdf/900_177586/dhg-360-global.pdf,https://assets.einhell.com/manuals-pdf/900_177587/dhg-360-global.pdf",,DHG 360 GLOBAL,,Hot Air Generator (Diesel),en,Diesel Heaters,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_2473/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/diesel-heaters/dhg-360-global.html,
,Einhell,,"https://assets.einhell.com/manuals-pdf/900_366391/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366396/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366399/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366395/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366394/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366402/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366400/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366397/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366398/ska-2500-dual-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366401/ska-2500-dual-c-h.pdf",,SKA 2500 Dual C+H,,Split Air Conditioner,en,Air conditioner,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_344808/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/air-conditioner/ska-2500-dual-c-h.html,
,Einhell,,https://assets.einhell.com/manuals-pdf/900_366393/ska-5000-c-h.pdf,,SKA 5000 C+H,,Split Air Conditioner,en,Air conditioner,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_344806/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/air-conditioner/ska-5000-c-h.html,
,Einhell,,"https://assets.einhell.com/manuals-pdf/900_364472/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_364473/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_364474/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_364475/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_365619/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368505/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368504/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366376/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366379/ska-3500-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366381/ska-3500-c-h.pdf",,SKA 3500 C+H,,Split Air Conditioner,en,Air conditioner,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_344802/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/air-conditioner/ska-3500-c-h.html,
,Einhell,,"https://assets.einhell.com/manuals-pdf/900_364466/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_364469/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_364470/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_364471/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_365041/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_365614/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_365617/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_365618/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368501/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368502/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368503/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368951/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_368952/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_369251/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_245884/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_288459/ska-3502-c-h.pdf,https://assets.einhell.com/manuals-pdf/900_366375/ska-3502-c-h.pdf",,SKA 3502 C+H,,Split Air Conditioner,en,Air conditioner,,ics-gmbh.com,https://assets.einhell.com/im/imf/800/900_344795/,Instructions,https://www.isc-gmbh.info/isc_de_en/spareparts/heating/air-conditioner/ska-3502-c-h.html,
